track_id,track_name,artist_id,artist_name,duration,release_date,popularity,danceability,loudness,tempo
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,198370,3/27/2020,92,0.449,-8.964,89.087
6HU7h9RYOaPRFeh0R3UeAr,deja vu,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,215506,5/21/2021,88,0.442,-7.222,180.917
5hTpBe8h35rJ67eAWHQsJx,Caroline,3Gm5F95VdRxW3mqCn8RPBJ,Aminé,209640,7/28/2017,78,0.94,-10.179,120.04
5hTpBe8h35rJ67eAWHQsJx,Caroline,3Gm5F95VdRxW3mqCn8RPBJ,Aminé,209640,7/28/2017,78,0.94,-10.179,120.04
3jagJCUbdqhDSPuxP8cAqF,Work It,2wIVse2owClT7go1WT98tk,Missy Elliott,263226,11/11/2002,71,0.884,-5.603,101.868
5B0kei3VVWCH7752PfDQsQ,Rich Boy Trap,69LoD9SvwYptcAMxekwuqi,Daz Payne,166956,3/26/2021,42,0.776,-10.606,138.031
3dFwpxh2yH7C7p9BGEKLVB,Goodies (feat. Petey Pablo),2NdeV5rLm47xAvogXrYhJX,Ciara,223000,9/27/2004,68,0.826,-6.306,102.017
7MC4XR9M9amdmKQr2iDF7i,Iko Iko (My Bestie),5lTjv8Ag00qHSGhvK4JbeF,Justin Wellington,182857,6/3/2019,81,0.862,-5.356,105.039
1Bhm5HNO1cq8olDbBmokyL,Copines,7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura,171720,11/2/2018,80,0.701,-3.941,180.027
7xYnUQigPoIDAMPVK79NEq,Run It! (feat. Juelz Santana),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,229866,2005,72,0.846,-6.721,100.969
5f7F8ovtEmFzOdyN5fTOKl,San Andreas Theme Song,58zzaIQ8XVObJml8da0b2e,Young Maylay,86546,11/7/2005,65,0.52,-7.13,96.855
3EjqEynisw490QVoUDSl8p,OUT out,22UgSS755ESXV2NfD1BkN5,AP3,214163,3/26/2021,41,0.842,-8.075,130.007
5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,167989,10/30/2020,82,0.789,-5.664,116.965
5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,167989,10/30/2020,82,0.789,-5.664,116.965
5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,167989,10/30/2020,82,0.789,-5.664,116.965
5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,167989,10/30/2020,82,0.789,-5.664,116.965
7lozLnUfzcgEpMMVQI7yhA,Why,4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,148259,4/12/2018,72,0.676,-6.584,113.01
66vs64VphiHrtFcLR6Qeav,Talkin' Bout (feat. Saweetie),053fl1QPQFGqSPPxSPcacT,Loui,126225,4/16/2021,71,0.885,-6.128,75.014
66vs64VphiHrtFcLR6Qeav,Talkin' Bout (feat. Saweetie),053fl1QPQFGqSPPxSPcacT,Loui,126225,4/16/2021,71,0.885,-6.128,75.014
66vs64VphiHrtFcLR6Qeav,Talkin' Bout (feat. Saweetie),053fl1QPQFGqSPPxSPcacT,Loui,126225,4/16/2021,71,0.885,-6.128,75.014
62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),0TnOYISbd1XYRBk9myaseg,Pitbull,227280,6/17/2011,75,0.67,-3.035,120.05
2BKyXCkxhZRGwREqZacJ9M,She Make It Clap,6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,111621,3/12/2021,61,0.938,-13.124,119.878
2BKyXCkxhZRGwREqZacJ9M,She Make It Clap,6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,111621,3/12/2021,61,0.938,-13.124,119.878
2BKyXCkxhZRGwREqZacJ9M,She Make It Clap,6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,111621,3/12/2021,61,0.938,-13.124,119.878
2BKyXCkxhZRGwREqZacJ9M,She Make It Clap,6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,111621,3/12/2021,61,0.938,-13.124,119.878
7IUl5c6u18rzmyQOblj10T,Somebody To Love Remix,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,220160,1/1/2011,59,0.703,-4.619,129.987
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,198081,3/19/2021,99,0.677,-6.181,90.03
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,198081,3/19/2021,99,0.677,-6.181,90.03
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,198081,3/19/2021,99,0.677,-6.181,90.03
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,198081,3/19/2021,99,0.677,-6.181,90.03
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,198081,3/19/2021,99,0.677,-6.181,90.03
5hjn1xQQvOXD85j83j7lRr,Aya,4d8dVaN19U8R3fpxswfpT5,WilliamGregory,179400,4/15/2021,35,0.708,-5.261,100.055
2HYvkdq6lpFXkVz9Tfqi8r,Big Gangsta,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,243462,5/31/2019,79,0.879,-5.602,144.911
2HYvkdq6lpFXkVz9Tfqi8r,Big Gangsta,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,243462,5/31/2019,79,0.879,-5.602,144.911
2HYvkdq6lpFXkVz9Tfqi8r,Big Gangsta,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,243462,5/31/2019,79,0.879,-5.602,144.911
1XXimziG1uhM0eDNCZCrUl,Up,4kYSro6naA4h99UJvo89HB,Cardi B,156944,2/5/2021,89,0.868,-6.044,166
1XXimziG1uhM0eDNCZCrUl,Up,4kYSro6naA4h99UJvo89HB,Cardi B,156944,2/5/2021,89,0.868,-6.044,166
1XXimziG1uhM0eDNCZCrUl,Up,4kYSro6naA4h99UJvo89HB,Cardi B,156944,2/5/2021,89,0.868,-6.044,166
1XXimziG1uhM0eDNCZCrUl,Up,4kYSro6naA4h99UJvo89HB,Cardi B,156944,2/5/2021,89,0.868,-6.044,166
2169IKAivSUUFGcedGASXc,16 Shots,2ExGrw6XpbtUAJHTLtUXUD,Stefflon Don,224727,5/22/2017,72,0.684,-4.871,95.083
2169IKAivSUUFGcedGASXc,16 Shots,2ExGrw6XpbtUAJHTLtUXUD,Stefflon Don,224727,5/22/2017,72,0.684,-4.871,95.083
6ic8OlLUNEATToEFU3xmaH,Gimme More,26dSoYclwsYLMAKD3tpOr4,Britney Spears,251240,10/25/2007,83,0.788,-3.131,113.324
6ic8OlLUNEATToEFU3xmaH,Gimme More,26dSoYclwsYLMAKD3tpOr4,Britney Spears,251240,10/25/2007,83,0.788,-3.131,113.324
5OiLJ8tjUPFiPX2gVM8fxJ,Imma Be,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,257560,1/1/2009,68,0.597,-6.963,92.035
5OiLJ8tjUPFiPX2gVM8fxJ,Imma Be,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,257560,1/1/2009,68,0.597,-6.963,92.035
0ZquDRUoxvC4QXHlBfRePZ,Alo Michael - rico rico rico rico,3SB8QuuxVULg4nFHoWJ5vj,Los Dioses Del Ritmo,186460,5/30/2020,35,0.853,-10.256,115.992
4iSWQ5Eadn5tZvvG9XNzYN,You're Perfect,5sK8BsvyDl4TFA6KaBf8or,Charly Black,196973,10/20/2017,69,0.817,-3.282,104.909
4iSWQ5Eadn5tZvvG9XNzYN,You're Perfect,5sK8BsvyDl4TFA6KaBf8or,Charly Black,196973,10/20/2017,69,0.817,-3.282,104.909
5JTLOTRT5W79DqlBdQuANa,Birthday,5MeLi8GYbrPCoYWQM1ZRyi,Slapaholics,171040,5/1/2021,35,0.688,-7.896,77.514
264XhF2zW8Uc6sxTDLid13,Intenso boom boom ( Acompanha o Grave ),1cNPXWhKfjI0fT5EMCnamR,Dj Guuga,120061,4/12/2019,66,0.864,-1.122,79.454
264XhF2zW8Uc6sxTDLid13,Intenso boom boom ( Acompanha o Grave ),1cNPXWhKfjI0fT5EMCnamR,Dj Guuga,120061,4/12/2019,66,0.864,-1.122,79.454
0uxSUdBrJy9Un0EYoBowng,20 Min,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,220586,11/17/2017,82,0.773,-4.009,123.426
0uxSUdBrJy9Un0EYoBowng,20 Min,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,220586,11/17/2017,82,0.773,-4.009,123.426
611p4K8eh3YlDLVKIwvNcE,Razor Blade Flow,78GdFYPETzCgutsc5O5COH,Mak Sauce,151848,4/10/2020,42,0.864,-5.373,84.044
48QmG1dfvMuYLxMPt7KSRA,No Lie,3Isy6kedDrgPYoTS1dazA9,Sean Paul,221176,6/29/2018,79,0.742,-2.862,102.04
4AcScHuxr9xAqqyxxTMAhu,Best I Ever Had,3TVXtAsR1Inumwj472S9r4,Drake,257680,2/14/2019,45,0.441,-2.199,162.395
4f3QKTht7dd8Uj9Yjg6AKa,ANXIOUS,2rWCIhENZyPVDAeFC0ESWN,Josh A,175003,4/30/2021,63,0.681,-6.48,84.007
1xMvdOFQaql3EBkHmuh2TK,Batman,0wHeZY93Ede0g1jXaWsiFS,LPB Poody,156431,2/12/2021,77,0.893,-4.74,81.009
1xMvdOFQaql3EBkHmuh2TK,Batman,0wHeZY93Ede0g1jXaWsiFS,LPB Poody,156431,2/12/2021,77,0.893,-4.74,81.009
1xMvdOFQaql3EBkHmuh2TK,Batman,0wHeZY93Ede0g1jXaWsiFS,LPB Poody,156431,2/12/2021,77,0.893,-4.74,81.009
1xMvdOFQaql3EBkHmuh2TK,Batman,0wHeZY93Ede0g1jXaWsiFS,LPB Poody,156431,2/12/2021,77,0.893,-4.74,81.009
1xMvdOFQaql3EBkHmuh2TK,Batman,0wHeZY93Ede0g1jXaWsiFS,LPB Poody,156431,2/12/2021,77,0.893,-4.74,81.009
6nQYJuqhIW2zKWAv1rZPM6,Kiss (Never Let Me Go),4VkqlQl3hGhxjchI34xp2V,Thyro,259120,11/29/2011,68,0.618,-2.971,139.902
6FuGJB290AQMAHTfjOYVaK,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",6fWVd57NKTalqvmjRd2t8Z,24kGoldn,192745,11/6/2020,80,0.721,-3.508,90.988
1eDyjPYw65g3wvQ7xJLF5c,BOO!,0mYBT2Ek76Szd4MqbCgT5R,Championxiii,133565,10/16/2020,63,0.974,-14.201,115.023
1eDyjPYw65g3wvQ7xJLF5c,BOO!,0mYBT2Ek76Szd4MqbCgT5R,Championxiii,133565,10/16/2020,63,0.974,-14.201,115.023
5GRf6zSrCi8gErdN6CyRJT,Tokyo,1iBxtU5394iPOzmot1FDUD,Leat'eq,174117,5/7/2018,65,0.743,-2.717,101.966
6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,7MPGCB854Qo4alYMOPkBka,Ritt Momney,210463,4/24/2020,85,0.399,-10.778,91.066
6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,7MPGCB854Qo4alYMOPkBka,Ritt Momney,210463,4/24/2020,85,0.399,-10.778,91.066
6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,7MPGCB854Qo4alYMOPkBka,Ritt Momney,210463,4/24/2020,85,0.399,-10.778,91.066
6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,7MPGCB854Qo4alYMOPkBka,Ritt Momney,210463,4/24/2020,85,0.399,-10.778,91.066
6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,7MPGCB854Qo4alYMOPkBka,Ritt Momney,210463,4/24/2020,85,0.399,-10.778,91.066
28F681WO9EDUPuq76tckbc,Jackpot,29gNyhlrTMFgj3Q36tEaEX,Chuku100,167680,5/14/2021,29,0.96,-4.511,103.006
3LUSxUzJ7wD8N0SeVRLkcR,In A Club,4Nl6PVYLwbCFfr3UqQlFtE,Volac,180880,8/16/2019,63,0.806,-7,123.025
3LUSxUzJ7wD8N0SeVRLkcR,In A Club,4Nl6PVYLwbCFfr3UqQlFtE,Volac,180880,8/16/2019,63,0.806,-7,123.025
6w1DBbA8akxHPiBQ6nAyJq,I'm a Flirt Remix (feat. T.I. & T-Pain),2mxe0TnaNL039ysAj51xPQ,R. Kelly,330600,5/19/2014,62,0.835,-4.771,138.038
0u4htORODiTK9vHVA89MQX,Lovefool,1tqZaCwM57UFKjWoYwMLrw,The Cardigans,193893,9/17/1996,67,0.64,-7.902,111.87
25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),50co4Is1HCEo8bhOyUWKpn,Young Thug,215306,6/16/2017,73,0.842,-6.336,145.992
25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),50co4Is1HCEo8bhOyUWKpn,Young Thug,215306,6/16/2017,73,0.842,-6.336,145.992
25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),50co4Is1HCEo8bhOyUWKpn,Young Thug,215306,6/16/2017,73,0.842,-6.336,145.992
25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),50co4Is1HCEo8bhOyUWKpn,Young Thug,215306,6/16/2017,73,0.842,-6.336,145.992
25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),50co4Is1HCEo8bhOyUWKpn,Young Thug,215306,6/16/2017,73,0.842,-6.336,145.992
4D0Byc3cOz9ywxlo78K3qr,Lotus Flower Bomb (feat. Miguel),67nwj3Y5sZQLl72VNUHEYE,Wale,213253,10/28/2011,59,0.512,-4.959,70.189
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,217866,10/5/2010,86,0.523,-4.754,145.837
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,217866,10/5/2010,86,0.523,-4.754,145.837
1jbLkcfE9VrWI3wCZaZU61,Bunx Up,2QeuYhXNA1WNPCeMLNBqIc,DeeWunn,215700,1/1/2013,49,0.947,-4.192,99.998
3FxPbp05KjMBa4HbhAJTH0,SugarCrash!,4b19vuzlDcNdU4quI7L6sW,ElyOtto,80117,8/25/2020,64,0.745,-6.558,97.735
3FxPbp05KjMBa4HbhAJTH0,SugarCrash!,4b19vuzlDcNdU4quI7L6sW,ElyOtto,80117,8/25/2020,64,0.745,-6.558,97.735
3FxPbp05KjMBa4HbhAJTH0,SugarCrash!,4b19vuzlDcNdU4quI7L6sW,ElyOtto,80117,8/25/2020,64,0.745,-6.558,97.735
5IZc3KIVFhjzJ0L2kiXzUl,Promise (feat. Fetty Wap),6KZDXtSj0SzGOV705nNeh3,Kid Ink,224240,12/25/2015,66,0.797,-8.112,103.057
6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,196813,8/9/2010,80,0.699,-3.896,120.016
6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,196813,8/9/2010,80,0.699,-3.896,120.016
6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,196813,8/9/2010,80,0.699,-3.896,120.016
3ERrX3hRQKZSN0fLFqpFU4,Rebel,67YZ3dlerNxiIKCtrTMFLj,Zum,135882,9/11/2020,43,0.815,-4.955,101.937
